feature,importance
in.sqft,0.2786759
out.params.occupant_density_ppl_per_m_2..people_per_m2,0.16750169
out.params.interior_electric_equipment_power_density..w_per_ft2,0.1287761
out.params.hot_water_volume..m3,0.12874714
out.params.average_cooling_setpoint_min..c,0.069467105
out.params.air_system_fan_power_minimum_flow_fraction,0.041337095
in.weekday_operating_hours..hr,0.03260858
in.hvac_night_variability,0.015756952
in.comstock_building_type,0.015408034
in.ashrae_iecc_climate_zone_2006,0.012916588
out.params.air_system_fan_static_pressure..inwc,0.012213115
out.params.average_heating_setpoint_max..c,0.009570722
in.weekend_opening_time..hr,0.0094611375
in.ejscreen_census_tract_percentile_percent_people_under_5,0.009175237
out.params.interior_lighting_power_density..w_per_ft2,0.005856673
in.hvac_combined_type,0.004194757
in.year_built,0.0038461913
out.params.average_cooling_setpoint_max..c,0.0032667976
in.aspect_ratio,0.0031320122
in.weekday_opening_time..hr,0.0030816516
in.airtightness..m3_per_m2_s,0.003074887
in.heating_fuel,0.0027840624
out.params.average_roof_u_value..btu_per_ft2_f_hr,0.0026102471
out.params.dx_cooling_design_cop..cop,0.002545178
in.ownership_type,0.0025254125
out.params.window_to_wall_ratio,0.002354022
out.params.air_system_fan_total_efficiency,0.0022577718
in.ejscreen_census_tract_percentile_for_low_income,0.0021874744
in.number_of_stories,0.0021568006
out.params.average_heating_setpoint_min..c,0.0020152766
in.weekend_operating_hours..hr,0.0019669975
in.hvac_cool_type,0.0019109228
in.hvac_system_type,0.0016720378
out.params.average_wall_u_value..btu_per_ft2_f_hr,0.0016593431
in.service_water_heating_fuel,0.001578795
in.ejscreen_census_tract_percentile_for_people_over_64,0.0015053208
in.hvac_heat_type,0.0011932545
in.interior_lighting_generation,0.0011440665
in.rotation..degrees,0.0011184256
in.ejscreen_census_tract_percentile_for_less_than_hs_educ,0.0010042775
in.window_type,0.0009966989
out.params.dx_heating_design_cop..cop,0.0009634645
in.wall_construction_type,0.00089210615
in.hvac_category,0.0008677907
out.params.average_window_shgc,0.00072370976
out.params.broiler_fuel_type,0.0005949587
out.params.average_window_u_value..btu_per_ft2_f_hr,0.0005273762
in.hvac_vent_type,0.00017587323
